feature,importance_mean,importance_std
feat_16,0.06073333333333328,0.010112478540012949
feat_7,0.05159999999999996,0.008569714114251406
feat_14,0.051199999999999954,0.008726969691708556
feat_3,0.04099999999999997,0.010115993936995646
feat_15,0.03806666666666665,0.008709892204971408
feat_4,0.026266666666666685,0.006826093725957439
feat_11,0.01706666666666668,0.008955197125443732
feat_19,0.016733333333333347,0.008057846417554073
feat_12,0.016600000000000014,0.00689250800990951
feat_8,0.011133333333333344,0.005789262090763866
feat_9,0.011133333333333344,0.008773951346014084
feat_18,0.009866666666666675,0.007265137453773488
feat_2,0.008600000000000007,0.005089859199100375
feat_1,0.003400000000000003,0.0033526109228480447
feat_13,0.001466666666666668,0.0037570674142947693
feat_5,0.0013333333333333346,0.0019550504398153593
feat_17,0.00020000000000000017,0.004770744176750629
feat_0,6.666666666666672e-05,0.0030324174441451117
feat_10,-0.0002666666666666669,0.002351358945139788
feat_6,-0.0010000000000000009,0.0032964627506869675
