train_loss,train_acc,val_loss,val_acc
0.7425315183997154,0.80725,0.28276516270637514,0.919
0.29907548558712005,0.91075,0.23350796383619307,0.932
0.234689833778888,0.929,0.2030242595076561,0.934
0.2226234708428383,0.92775,0.19249018955230712,0.932
0.18770641400665045,0.93725,0.20395022106170654,0.94
0.18728914099559188,0.93675,0.18983139127492904,0.937
0.17119755844026804,0.94325,0.18303625494241715,0.941
0.1659353556688875,0.93975,0.19746368031948805,0.933
0.1481675680540502,0.95275,0.17343201991915702,0.942
0.15197567871958018,0.94825,0.17610845588892698,0.941
0.16147204069793225,0.94575,0.19199928637593985,0.934
0.14187362126447262,0.952,0.17826867513358594,0.941
0.1303938889214769,0.956,0.1942550215870142,0.943
0.14727792461402714,0.951,0.1869977825284004,0.94
0.12959453925071285,0.95225,0.2009515600502491,0.944
