train_loss,train_acc,val_loss,val_acc
1.9210302963256836,0.27475,1.6217098722457886,0.386
1.650528519153595,0.36275,1.5038228588104248,0.43
1.5581579947471618,0.402,1.4733895339965821,0.463
1.4822414150238037,0.436,1.410066421508789,0.464
1.4470091111660004,0.46025,1.3743794889450074,0.491
1.397527158498764,0.47275,1.3090054035186767,0.537
1.3511649148464202,0.48975,1.313262864112854,0.518
1.314569175004959,0.52275,1.2347606649398803,0.548
1.2831842489242553,0.51675,1.2222383761405944,0.543
1.2484284300804138,0.53575,1.2159932794570922,0.566
1.2189683539867402,0.531,1.2451294050216675,0.534
1.1797968933582306,0.55525,1.1880423073768616,0.569
1.1518773138523102,0.57575,1.1116892156600953,0.584
1.1156930330991746,0.57625,1.095212100982666,0.593
1.0662918045520782,0.60875,1.1072707414627074,0.6
