train_loss,train_acc,val_loss,val_acc
1.93957723903656,0.26725,1.642533977508545,0.346
1.6900653381347657,0.339,1.4872751874923706,0.427
1.5646830904483795,0.3915,1.438000612258911,0.459
1.5072770805358886,0.42675,1.4251634016036987,0.451
1.4542443194389343,0.44875,1.3512103958129882,0.504
1.4083163130283356,0.46525,1.3163861055374146,0.525
1.3767275495529174,0.4915,1.3667236638069153,0.483
1.3280830132961272,0.49425,1.2829210596084595,0.521
1.3006326315402985,0.512,1.26555841255188,0.532
1.2661683599948883,0.52925,1.2211540842056274,0.568
1.220278599023819,0.5415,1.2174353713989259,0.565
1.178987979888916,0.55725,1.1803973026275634,0.568
1.1470803083181382,0.5725,1.1401786913871765,0.605
1.1313308231830597,0.57675,1.1278104991912843,0.602
1.1078376715183258,0.592,1.1588154258728027,0.586
