train_loss,train_acc,val_loss,val_acc
0.5664261279851198,0.811,0.3296366923004389,0.89
0.27525858658365904,0.9105,0.28920663757622245,0.915
0.1556558626908809,0.95075,0.3309176586270332,0.904
0.10617695788852871,0.967,0.3214344074800611,0.916
0.11425649786856956,0.9625,0.38580714490264656,0.895
0.10147303357254714,0.9685,0.3182908752448857,0.904
0.05327258234930923,0.983,0.3517505410537124,0.909
0.03374603525636485,0.98875,0.3339329517446458,0.919
0.023071714296005665,0.99325,0.3621633440966252,0.913
0.07492514021828538,0.976,0.4148644014000893,0.891
0.056451046008471166,0.98,0.3255185339678428,0.919
0.04198303715942893,0.9855,0.4801718056872487,0.897
0.05721444407571107,0.984,0.3294767599720508,0.915
0.04983889802847989,0.986,0.3692336289649829,0.907
0.046947466079727745,0.98475,0.3912041804632172,0.898
